Label,WHO Location,Normalized Who Location,What Changed
BL 45,"In the upper back region, at the same level as the inferior border of the spinous process of the sixth thoracic vertebra (T6), 3 B-cun lateral to the posterior median line. Note: BL45, BL16 and GV10 are located at the same level as the inferior border of the spinous process of the sixth thoracic vertebra (T6).","In the upper back region, at the same level as the inferior border of the spinous process of the sixth thoracic vertebra (T6), 3 B-cun lateral to the posterior median line.
- Note: BL 45, BL 16 and GV 10 are located at the same level as the inferior border of the spinous process of the sixth thoracic vertebra (T6).",normalized acupoint code 'BL45' to 'BL 45'; normalized acupoint code 'BL16' to 'BL 16'; normalized acupoint code 'GV10' to 'GV 10'; moved 'Note' to a new line prefixed with '- '.
BL 46,"In the upper back region, at the same level as the inferior border of the spinous process of the seventh thoracic vertebra (T7), 3 B-cun lateral to the posterior median line. Note: BL 46, BL17 and GV9 are located at the same level as the inferior border of the spinous process of the seventh thoracic vertebra (T7).","In the upper back region, at the same level as the inferior border of the spinous process of the seventh thoracic vertebra (T7), 3 B-cun lateral to the posterior median line.
- Note: BL 46, BL 17 and GV 9 are located at the same level as the inferior border of the spinous process of the seventh thoracic vertebra (T7).",normalized acupoint code 'BL17' to 'BL 17'; normalized acupoint code 'GV9' to 'GV 9'; moved 'Note' to a new line prefixed with '- '.
BL 47,"In the upper back region, at the same level as the inferior border of the spinous process of the ninth thoracic vertebra (T9), 3 B-cun lateral to the posterior median line. Note: BL47, BL18 and GV8 are located at the same level as the inferior border of the spinous process of the ninth thoracic vertebra (T9).","In the upper back region, at the same level as the inferior border of the spinous process of the ninth thoracic vertebra (T9), 3 B-cun lateral to the posterior median line.
- Note: BL 47, BL 18 and GV 8 are located at the same level as the inferior border of the spinous process of the ninth thoracic vertebra (T9).",normalized acupoint code 'BL47' to 'BL 47'; normalized acupoint code 'BL18' to 'BL 18'; normalized acupoint code 'GV8' to 'GV 8'; moved 'Note' to a new line prefixed with '- '.
BL 48,"In the upper back region, at the same level as the inferior border of the spinous pro- cess of the tenth thoracic vertebra (T10), 3 B-cun lateral to the posterior median line. Note: BL48, BL19 and GV7 are located at the same level as the inferior border of the spinous process of the tenth thoracic vertebra (T10).","In the upper back region, at the same level as the inferior border of the spinous process of the tenth thoracic vertebra (T10), 3 B-cun lateral to the posterior median line.
- Note: BL 48, BL 19 and GV 7 are located at the same level as the inferior border of the spinous process of the tenth thoracic vertebra (T10).",rejoined split word 'pro- cess' into 'process'; normalized acupoint code 'BL48' to 'BL 48'; normalized acupoint code 'BL19' to 'BL 19'; normalized acupoint code 'GV7' to 'GV 7'; moved 'Note' to a new line prefixed with '- '.
BL 49,"In the upper back region, at the same level as the inferior border of the spinous process of the 11th thoracic vertebra (T11), 3 B-cun lateral to the posterior median line. Note: BL49, BL20 and GV6 are located at the same level as the inferior border of the spinous process of the 11th thoracic vertebra (T11).","In the upper back region, at the same level as the inferior border of the spinous process of the 11th thoracic vertebra (T11), 3 B-cun lateral to the posterior median line.
- Note: BL 49, BL 20 and GV 6 are located at the same level as the inferior border of the spinous process of the 11th thoracic vertebra (T11).",normalized acupoint code 'BL49' to 'BL 49'; normalized acupoint code 'BL20' to 'BL 20'; normalized acupoint code 'GV6' to 'GV 6'; moved 'Note' to a new line prefixed with '- '.
BL 50,"In the upper back region, at the same level as the inferior border of the spinous process of the 12th thoracic vertebra (T12), 3 B-cun lateral to the posterior median line. Note: BL50 and BL21 are located at the same level as the inferior border of the spinous process of the 12th thoracic vertebra (T12).","In the upper back region, at the same level as the inferior border of the spinous process of the 12th thoracic vertebra (T12), 3 B-cun lateral to the posterior median line.
- Note: BL 50 and BL 21 are located at the same level as the inferior border of the spinous process of the 12th thoracic vertebra (T12).",normalized acupoint code 'BL50' to 'BL 50'; normalized acupoint code 'BL21' to 'BL 21'; moved 'Note' to a new line prefixed with '- '.
BL 51,"In the lumbar region, at the same level as the inferior border of the spinous process of the first lumbar vertebra (L1), 3 B-cun lateral to the posterior median line. Note: BL51, BL22 and GV5 are located at the same level as the inferior border of the spinous process of the first lumbar vertebra (L1).","In the lumbar region, at the same level as the inferior border of the spinous process of the first lumbar vertebra (L1), 3 B-cun lateral to the posterior median line.
- Note: BL 51, BL 22 and GV 5 are located at the same level as the inferior border of the spinous process of the first lumbar vertebra (L1).",normalized acupoint code 'BL51' to 'BL 51'; normalized acupoint code 'BL22' to 'BL 22'; normalized acupoint code 'GV5' to 'GV 5'; moved 'Note' to a new line prefixed with '- '.
BL 52,"In the lumbar region, at the same level as the inferior border of the spinous process of the second lumbar vertebra (L2), 3 B-cun lateral to the posterior median line. Note: BL52, BL23 and GV4 are located at the same level as the inferior border of the spinous process of the second lumbar vertebra (L2).","In the lumbar region, at the same level as the inferior border of the spinous process of the second lumbar vertebra (L2), 3 B-cun lateral to the posterior median line.
- Note: BL 52, BL 23 and GV 4 are located at the same level as the inferior border of the spinous process of the second lumbar vertebra (L2).",normalized acupoint code 'BL52' to 'BL 52'; normalized acupoint code 'BL23' to 'BL 23'; normalized acupoint code 'GV4' to 'GV 4'; moved 'Note' to a new line prefixed with '- '.
BL 53,"In the buttock region, at the same level as the second posterior sacral foramen, 3 B-cun lateral to the median sacral crest. Note: BL53, BL28 and BL32 are located at the same level as the second posterior sacral foramen.","In the buttock region, at the same level as the second posterior sacral foramen, 3 B-cun lateral to the median sacral crest.
- Note: BL 53, BL 28 and BL 32 are located at the same level as the second posterior sacral foramen.",normalized acupoint code 'BL53' to 'BL 53'; normalized acupoint code 'BL28' to 'BL 28'; normalized acupoint code 'BL32' to 'BL 32'; moved 'Note' to a new line prefixed with '- '.
BL 54,"In the buttock region, at the same level as the fourth posterior sacral foramen, 3 B-cun lateral to the median sacral crest. Note: 3 B-cun lateral to the sacral hiatus, at the same level as BL 30.","In the buttock region, at the same level as the fourth posterior sacral foramen, 3 B-cun lateral to the median sacral crest.
- Note: 3 B-cun lateral to the sacral hiatus, at the same level as BL 30.",moved 'Note' to a new line prefixed with '- '.
BL 55,"On the posterior aspect of the leg, between the lateral head and medial head of the gastrocnemius muscle, 2 B-cun distal to the popliteal crease. Note: 2 B-cun distal to BL40, on the line connecting BL40 with BL57.","On the posterior aspect of the leg, between the lateral head and medial head of the gastrocnemius muscle, 2 B-cun distal to the popliteal crease.
- Note: 2 B-cun distal to BL 40, on the line connecting BL 40 with BL 57.",normalized acupoint code 'BL40' to 'BL 40'; normalized acupoint code 'BL57' to 'BL 57'; moved 'Note' to a new line prefixed with '- '.
BL 56,"On the posterior aspect of the leg, between the two muscle bellies of the gastrocne- mius muscle, 5 B-cun distal to the popliteal crease. Note: Midway between BL55 and BL57.","On the posterior aspect of the leg, between the two muscle bellies of the gastrocnemius muscle, 5 B-cun distal to the popliteal crease.
- Note: Midway between BL 55 and BL 57.",rejoined split word 'gastrocne- mius' into 'gastrocnemius'; normalized acupoint code 'BL55' to 'BL 55'; normalized acupoint code 'BL57' to 'BL 57'; moved 'Note' to a new line prefixed with '- '.
BL 57,"On the posterior aspect of the leg, at the connecting point of the calcaneal tendon with the two muscle bellies of the gastrocnemius muscle. Note: With the leg stretched (plantar flexion) or the heel up, BL57 is located at the sharp angled depression inferior to the muscle belly of the gastrocnemius muscle. the two heads of the gastrocnemius muscle are separated to make a lambda shape (Λ).","On the posterior aspect of the leg, at the connecting point of the calcaneal tendon with the two muscle bellies of the gastrocnemius muscle.
- Note: With the leg stretched (plantar flexion) or the heel up, BL 57 is located at the sharp angled depression inferior to the muscle belly of the gastrocnemius muscle. the two heads of the gastrocnemius muscle are separated to make a lambda shape (Λ).",normalized acupoint code 'BL57' to 'BL 57'; moved 'Note' to a new line prefixed with '- '.
BL 58,"On the posterolateral aspect of the leg, between the inferior border of the lateral head of the gastrocnemius muscle and the calcaneal tendon, at the same level as 7 B-cun proximal to BL60. Note: BL58 is located 1 B-cun lateral and distal to BL57, proximal to BL60.","On the posterolateral aspect of the leg, between the inferior border of the lateral head of the gastrocnemius muscle and the calcaneal tendon, at the same level as 7 B-cun proximal to BL 60.
- Note: BL 58 is located 1 B-cun lateral and distal to BL 57, proximal to BL 60.",normalized acupoint code 'BL60' to 'BL 60'; normalized acupoint code 'BL58' to 'BL 58'; normalized acupoint code 'BL57' to 'BL 57'; moved 'Note' to a new line prefixed with '- '.
BL 59,"On the posterolateral aspect of the leg, between the fibula and the calcaneal tendon, at the same level as 3 B-cun proximal to BL60.","On the posterolateral aspect of the leg, between the fibula and the calcaneal tendon, at the same level as 3 B-cun proximal to BL 60.",normalized acupoint code 'BL60' to 'BL 60'.
BL 60,"On the posterolateral aspect of the ankle, in the depression between the prominence of the lateral malleolus and the calcaneal tendon.","On the posterolateral aspect of the ankle, in the depression between the prominence of the lateral malleolus and the calcaneal tendon.",No changes needed.
BL 61,"On the lateral aspect of the foot, distal to BL60, lateral to the calcaneus, at the border between the red and white flesh.","On the lateral aspect of the foot, distal to BL 60, lateral to the calcaneus, at the border between the red and white flesh.",normalized acupoint code 'BL60' to 'BL 60'.
BL 62,"On the lateral aspect of the foot, directly inferior to the prominence of the lateral malleolus, in the depression between the inferior border of the lateral malleolus and the calcaneus. Note: BL62 is located in the depression distal to the inferior border of the lateral malleolus. the corresponding medial acupuncture point to BL 62 is KI6.","On the lateral aspect of the foot, directly inferior to the prominence of the lateral malleolus, in the depression between the inferior border of the lateral malleolus and the calcaneus.
- Note: BL 62 is located in the depression distal to the inferior border of the lateral malleolus. the corresponding medial acupuncture point to BL 62 is KI 6.",normalized acupoint code 'BL62' to 'BL 62'; normalized acupoint code 'KI6' to 'KI 6'; moved 'Note' to a new line prefixed with '- '.
BL 63,"On the dorsum of the foot, distal to the anterior border of the lateral malleolus, posterior to the tuberosity of the fifth metatarsal bone, in the depression inferior to the cuboid bone.","On the dorsum of the foot, distal to the anterior border of the lateral malleolus, posterior to the tuberosity of the fifth metatarsal bone, in the depression inferior to the cuboid bone.",No changes needed.
BL 64,"On the lateral aspect of the foot, distal to the tuberosity of the fifth metatarsal bone, at the border between the red and white flesh. Note: The tuberosity of the fifth metatarsal bone is located approximately midway be- tween the heel and the fifth metatarsophalangeal joint.","On the lateral aspect of the foot, distal to the tuberosity of the fifth metatarsal bone, at the border between the red and white flesh.
- Note: The tuberosity of the fifth metatarsal bone is located approximately midway between the heel and the fifth metatarsophalangeal joint.",rejoined split word 'be- tween' into 'between'; moved 'Note' to a new line prefixed with '- '.
BL 65,"On the lateral aspect of the foot, in the depression proximal to the fifth metatarsophalangeal joint, at the border between the red and white flesh.","On the lateral aspect of the foot, in the depression proximal to the fifth metatarsophalangeal joint, at the border between the red and white flesh.",No changes needed.
BL 66,"On the little toe, in the depression distal and lateral to the fifth metatarsophalangeal joint, at the border between the red and white flesh.","On the little toe, in the depression distal and lateral to the fifth metatarsophalangeal joint, at the border between the red and white flesh.",No changes needed.
BL 67,"On the little toe, lateral to the distal pha- lanx, 0.1 f-cun proximal to the lateral corner of the toenail; at the intersection of the vertical line of the lateral side of the nail and the horizontal line of the base of the toenail.","On the little toe, lateral to the distal phalanx, 0.1 f-cun proximal to the lateral corner of the toenail; at the intersection of the vertical line of the lateral side of the nail and the horizontal line of the base of the toenail.","rejoined split word 'pha- lanx,' into 'phalanx,'."
,,,
KI 1,"On the sole of the foot, in the deepest depression of the sole when the toes are flexed. Note: When the toes are flexed, KI1 is located approximately in the depression at the junction of the anterior one third and the posterior two thirds of the line connecting the heel with the web margin between the bases of the second and third toes.","On the sole of the foot, in the deepest depression of the sole when the toes are flexed.
- Note: When the toes are flexed, KI 1 is located approximately in the depression at the junction of the anterior one third and the posterior two thirds of the line connecting the heel with the web margin between the bases of the second and third toes.",normalized acupoint code 'KI1' to 'KI 1'; moved 'Note' to a new line prefixed with '- '.
KI 2,"On the medial aspect of the foot, inferior to the tuberosity of the navicular bone, at the border between the red and white flesh.","On the medial aspect of the foot, inferior to the tuberosity of the navicular bone, at the border between the red and white flesh.",No changes needed.
KI 3,"On the posteromedial aspect of the ankle, in the depression between the prominence of the medial malleolus and the calcaneal tendon.","On the posteromedial aspect of the ankle, in the depression between the prominence of the medial malleolus and the calcaneal tendon.",No changes needed.
KI 4,"On the medial aspect of the foot, posteroinferior to the medial malleolus, superior to the calcaneus, in the depression anterior to the medial attachment of the calcaneal tendon.","On the medial aspect of the foot, posteroinferior to the medial malleolus, superior to the calcaneus, in the depression anterior to the medial attachment of the calcaneal tendon.",No changes needed.
KI 5,"On the medial aspect of the foot, 1 B-cun inferior to KI3, in the depression anterior to the calcaneal tuberosity.","On the medial aspect of the foot, 1 B-cun inferior to KI 3, in the depression anterior to the calcaneal tuberosity.",normalized acupoint code 'KI3' to 'KI 3'.
KI 6,"On the medial aspect of the foot, 1 B-cun inferior to the prominence of the medial malleolus, in the depression inferior to the medial malleolus. Note: The corresponding lateral point to KI6 is BL62.","On the medial aspect of the foot, 1 B-cun inferior to the prominence of the medial malleolus, in the depression inferior to the medial malleolus.
- Note: The corresponding lateral point to KI 6 is BL 62.",normalized acupoint code 'KI6' to 'KI 6'; normalized acupoint code 'BL62' to 'BL 62'; moved 'Note' to a new line prefixed with '- '.
KI 7,"On the posteromedial aspect of the leg, anterior to the calcaneal tendon, 2 B-cun superior to the prominence of the medial malleolus. Note: At the same level and posterior to KI8.","On the posteromedial aspect of the leg, anterior to the calcaneal tendon, 2 B-cun superior to the prominence of the medial malleolus.
- Note: At the same level and posterior to KI 8.",normalized acupoint code 'KI8' to 'KI 8'; moved 'Note' to a new line prefixed with '- '.
KI 8,"On the medial aspect of the leg, in the depression posterior to the medial border of the tibial bone, 2 B-cun superior to the prominence of the medial malleolus. Note: 0.5 B-cun anterior to KI7.","On the medial aspect of the leg, in the depression posterior to the medial border of the tibial bone, 2 B-cun superior to the prominence of the medial malleolus.
- Note: 0.5 B-cun anterior to KI 7.",normalized acupoint code 'KI7' to 'KI 7'; moved 'Note' to a new line prefixed with '- '.
KI 9,"On the posteromedial aspect of the leg, between the soleus muscle and the calcaneal tendon, 5 B-cun superior to the prominence of the medial malleolus. Note 1: With the knee flexed and the leg stretched (plantar flexion) against resistance, the soleus muscle can be seen more clearly along the medial border of the tibia bone. Note 2: At the same level as LR5, on the line connecting KI3 with KI10.","On the posteromedial aspect of the leg, between the soleus muscle and the calcaneal tendon, 5 B-cun superior to the prominence of the medial malleolus.
- Note 1: With the knee flexed and the leg stretched (plantar flexion) against resistance, the soleus muscle can be seen more clearly along the medial border of the tibia bone.
- Note 2: At the same level as LR 5, on the line connecting KI 3 with KI 10.",normalized acupoint code 'LR5' to 'LR 5'; normalized acupoint code 'KI3' to 'KI 3'; normalized acupoint code 'KI10' to 'KI 10'; moved 'Note' to a new line prefixed with '- '.
KI 10,"On the posteromedial aspect of the knee, just lateral to the semitendinosus tendon, in the popliteal crease.","On the posteromedial aspect of the knee, just lateral to the semitendinosus tendon, in the popliteal crease.",No changes needed.
KI 11,"On the lower abdomen, 5 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","On the lower abdomen, 5 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.",No changes needed.
KI 12,"On the lower abdomen, 4 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","On the lower abdomen, 4 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.",No changes needed.
KI 13,"On the lower abdomen, 3 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","On the lower abdomen, 3 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.",No changes needed.
KI 14,"On the lower abdomen, 2 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","On the lower abdomen, 2 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.",No changes needed.
KI 15,"On the lower abdomen, 1 B-cun inferior to umbilicus, 0.5 B-cun lateral to the anterior median line.","On the lower abdomen, 1 B-cun inferior to umbilicus, 0.5 B-cun lateral to the anterior median line.",No changes needed.
KI 16,"On the upper abdomen, 0.5 B-cun lateral to the centre of the umbilicus.","On the upper abdomen, 0.5 B-cun lateral to the centre of the umbilicus.",No changes needed.
KI 17,"On the upper abdomen, 2 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","On the upper abdomen, 2 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.",No changes needed.
KI 18,"On the upper abdomen, 3 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","On the upper abdomen, 3 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.",No changes needed.
KI 19,"On the upper abdomen, 4 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","On the upper abdomen, 4 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.",No changes needed.
KI 20,"On the upper abdomen, 5 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","On the upper abdomen, 5 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.",No changes needed.
KI 21,"On the upper abdomen, 6 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.","On the upper abdomen, 6 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.",No changes needed.
KI 22,"In the anterior thoracic region, in the fifth intercostal space, 2 B-cun lateral to the anterior median line.","In the anterior thoracic region, in the fifth intercostal space, 2 B-cun lateral to the anterior median line.",No changes needed.
KI 23,"In the anterior thoracic region, in the fourth intercostal space, 2 B-cun lateral to the anterior median line.","In the anterior thoracic region, in the fourth intercostal space, 2 B-cun lateral to the anterior median line.",No changes needed.
KI 24,"In the anterior thoracic region, in the third intercostal space, 2 B-cun lateral to the anterior median line.","In the anterior thoracic region, in the third intercostal space, 2 B-cun lateral to the anterior median line.",No changes needed.
KI 25,"In the anterior thoracic region, in the second intercostal space, 2 B-cun lateral to the anterior median line.","In the anterior thoracic region, in the second intercostal space, 2 B-cun lateral to the anterior median line.",No changes needed.
KI 26,"In the anterior thoracic region, in the first intercostal space, 2 B-cun lateral to the anterior median line.","In the anterior thoracic region, in the first intercostal space, 2 B-cun lateral to the anterior median line.",No changes needed.
KI 27,"In the anterior thoracic region, just inferior to the clavicle, 2 B-cun lateral to the anterior median line.","In the anterior thoracic region, just inferior to the clavicle, 2 B-cun lateral to the anterior median line.",No changes needed.
,,,
PC 1,"In the anterior thoracic region, in the fourth intercostal space, 5 B-cun lateral to the anterior median line.","In the anterior thoracic region, in the fourth intercostal space, 5 B-cun lateral to the anterior median line.",No changes needed.
PC 2,"On the anterior aspect of the arm, between the long head and short head of the biceps brachii muscle, 2 B-cun distal to the anterior axillary fold.","On the anterior aspect of the arm, between the long head and short head of the biceps brachii muscle, 2 B-cun distal to the anterior axillary fold.",No changes needed.
PC 3,"On the anterior aspect of the elbow, at the cubital crease, in the depression medial to the biceps brachii tendon. Note: When the elbow is flexed at 45 degrees, PC3 is located medial to the biceps brachii tendon.","On the anterior aspect of the elbow, at the cubital crease, in the depression medial to the biceps brachii tendon.
- Note: When the elbow is flexed at 45 degrees, PC 3 is located medial to the biceps brachii tendon.",normalized acupoint code 'PC3' to 'PC 3'; moved 'Note' to a new line prefixed with '- '.
PC 4,"On the anterior aspect of the forearm, between the tendons of the palmaris longus and the flexor carpi radialis, 5 B-cun proximal to the palmar wrist crease. Note 1: With the fist clenched, the wrist supinated, and the elbow slightly flexed, the two tendons become more prominent. PC4 is located 1 B-cun distal to the midpoint of the line connecting PC3 with PC7. Note 2: If the palmaris longus tendon is not present, PC4 is medial to the flexor carpi radialis tendon.","On the anterior aspect of the forearm, between the tendons of the palmaris longus and the flexor carpi radialis, 5 B-cun proximal to the palmar wrist crease.
- Note 1: With the fist clenched, the wrist supinated, and the elbow slightly flexed, the two tendons become more prominent. PC 4 is located 1 B-cun distal to the midpoint of the line connecting PC 3 with PC 7.
- Note 2: If the palmaris longus tendon is not present, PC 4 is medial to the flexor carpi radialis tendon.",normalized acupoint code 'PC4' to 'PC 4'; normalized acupoint code 'PC3' to 'PC 3'; normalized acupoint code 'PC7' to 'PC 7'; moved 'Note' to a new line prefixed with '- '.
PC 5,"On the anterior aspect of the forearm, between the tendons of the palmaris longus and the flexor carpi radialis, 3 B-cun proximal to the palmar wrist crease. Note 1: With the fist clenched, the wrist supinated and the elbow slightly flexed, the two tendons become more prominent. PC5 is located 3 B-cun proximal to PC7. Note 2: If the palmaris longus tendon is not present, PC5 is medial to the flexor carpi radialis tendon.","On the anterior aspect of the forearm, between the tendons of the palmaris longus and the flexor carpi radialis, 3 B-cun proximal to the palmar wrist crease.
- Note 1: With the fist clenched, the wrist supinated and the elbow slightly flexed, the two tendons become more prominent. PC 5 is located 3 B-cun proximal to PC 7.
- Note 2: If the palmaris longus tendon is not present, PC 5 is medial to the flexor carpi radialis tendon.",normalized acupoint code 'PC5' to 'PC 5'; normalized acupoint code 'PC7' to 'PC 7'; moved 'Note' to a new line prefixed with '- '.
PC 6,"On the anterior aspect of the forearm, between the tendons of the palmaris longus and the flexor carpi radialis, 2 B-cun proximal to the palmar wrist crease. Note 1: With the fist clenched, the wrist supinated and the elbow slightly flexed, the two tendons become more prominent. PC6 is located 2 B-cun proximal to PC7. the posterial point corresponding to PC6 is TE5. Note 2: If the palmaris longus tendon is not present, PC6 is medial to the flexor carpi radialis tendon.","On the anterior aspect of the forearm, between the tendons of the palmaris longus and the flexor carpi radialis, 2 B-cun proximal to the palmar wrist crease.
- Note 1: With the fist clenched, the wrist supinated and the elbow slightly flexed, the two tendons become more prominent. PC 6 is located 2 B-cun proximal to PC 7. the posterial point corresponding to PC 6 is TE 5.
- Note 2: If the palmaris longus tendon is not present, PC 6 is medial to the flexor carpi radialis tendon.",normalized acupoint code 'PC6' to 'PC 6'; normalized acupoint code 'PC7' to 'PC 7'; normalized acupoint code 'TE5' to 'TE 5'; moved 'Note' to a new line prefixed with '- '.
PC 7,"On the anterior aspect of the wrist, between the tendons of palmaris longus and the flexor carpi radialis, on the palmar wrist crease. Note: With the fist clenched, the wrist slightly flexed, the two tendons become more prominent. PC7 is located at the midpoint of the palmar wrist crease, between the tendons of palmaris longus and the flexor carpi radialis, at the same level as Ht7, at the proximal extremity of the pisiform bone.","On the anterior aspect of the wrist, between the tendons of palmaris longus and the flexor carpi radialis, on the palmar wrist crease.
- Note: With the fist clenched, the wrist slightly flexed, the two tendons become more prominent. PC 7 is located at the midpoint of the palmar wrist crease, between the tendons of palmaris longus and the flexor carpi radialis, at the same level as HT 7, at the proximal extremity of the pisiform bone.",normalized acupoint code 'PC7' to 'PC 7'; normalized acupoint code 'Ht7' to 'HT 7'; moved 'Note' to a new line prefixed with '- '.
PC 8,"On the palm of the hand, in the depression between the second and third metacarpal bones, proximal to the metacarpophalangeal joints. Remarks: Alternative location for PC8 - On the palm of the hand, in the depression, between the third and fourth metacarpal bones, proximal to the metacarpophalangeal joints.","On the palm of the hand, in the depression between the second and third metacarpal bones, proximal to the metacarpophalangeal joints. Remarks: Alternative location for PC 8 - On the palm of the hand, in the depression, between the third and fourth metacarpal bones, proximal to the metacarpophalangeal joints.",normalized acupoint code 'PC8' to 'PC 8'.
PC 9,"On the middle finger, at the centre of the tip of the middle finger. Remarks: Alternative location for PC9 - On the middle finger, 0.1 F-cun proximal to the radial corner of the middle fingernail, at the intersection of the vertical line of the radial side of the nail and the horizontal line of the base of the fingernail.","On the middle finger, at the centre of the tip of the middle finger. Remarks: Alternative location for PC 9 - On the middle finger, 0.1 F-cun proximal to the radial corner of the middle fingernail, at the intersection of the vertical line of the radial side of the nail and the horizontal line of the base of the fingernail.",normalized acupoint code 'PC9' to 'PC 9'.
,,,
TE 1,"On the ring finger, ulnar to the distal phalanx, 0.1 f-cun proximal to the ulnar corner of the fingernail, at the intersection of the vertical line of the ulnar side of the nail and the horizontal line of the base of the fingernail.","On the ring finger, ulnar to the distal phalanx, 0.1 f-cun proximal to the ulnar corner of the fingernail, at the intersection of the vertical line of the ulnar side of the nail and the horizontal line of the base of the fingernail.",No changes needed.
TE 2,"On the dorsum of the hand, in the depression superior to the web margin between the ring and little fingers, at the border between the red and white flesh.","On the dorsum of the hand, in the depression superior to the web margin between the ring and little fingers, at the border between the red and white flesh.",No changes needed.
TE 3,"On the dorsum of the hand, between the fourth and fifth metacarpal bones, in the depression proximal to the fourth metacarpophalangeal joint.","On the dorsum of the hand, between the fourth and fifth metacarpal bones, in the depression proximal to the fourth metacarpophalangeal joint.",No changes needed.
TE 4,"On the posterior aspect of the wrist, in the depression ulnar to the extensor digitorum tendon, on the dorsal wrist crease. Note 1: TE4 can be palpated when moving proximally along the gap between the fifth and fourth metacarpal bones, at the same level as LI5 and SI5. Note 2: When the wrist is extended against resistance, the extensor digitorum tendon can be palpated more easily.","On the posterior aspect of the wrist, in the depression ulnar to the extensor digitorum tendon, on the dorsal wrist crease.
- Note 1: TE 4 can be palpated when moving proximally along the gap between the fifth and fourth metacarpal bones, at the same level as LI 5 and SI 5.
- Note 2: When the wrist is extended against resistance, the extensor digitorum tendon can be palpated more easily.",normalized acupoint code 'TE4' to 'TE 4'; normalized acupoint code 'LI5' to 'LI 5'; normalized acupoint code 'SI5' to 'SI 5'; moved 'Note' to a new line prefixed with '- '.
TE 5,"On the posterior aspect of the forearm, midpoint of the interosseous space between the radius and the ulna, 2 B-cun proximal to the dorsal wrist crease. Note: 2 B-cun proximal to TE4, in the depression between the radius and the ulna. The anterior point corresponding to TE5 is PC6.","On the posterior aspect of the forearm, midpoint of the interosseous space between the radius and the ulna, 2 B-cun proximal to the dorsal wrist crease.
- Note: 2 B-cun proximal to TE 4, in the depression between the radius and the ulna. The anterior point corresponding to TE 5 is PC 6.",normalized acupoint code 'TE4' to 'TE 4'; normalized acupoint code 'TE5' to 'TE 5'; normalized acupoint code 'PC6' to 'PC 6'; moved 'Note' to a new line prefixed with '- '.
TE 6,"On the posterior aspect of the forearm, midpoint of the interosseous space between the radius and the ulna, 3 B-cun proximal to the dorsal wrist crease. Note: 1 B-cun proximal to TE5, between the radius and the ulna, at the same level as tE7.","On the posterior aspect of the forearm, midpoint of the interosseous space between the radius and the ulna, 3 B-cun proximal to the dorsal wrist crease.
- Note: 1 B-cun proximal to TE 5, between the radius and the ulna, at the same level as TE 7.",normalized acupoint code 'TE5' to 'TE 5'; normalized acupoint code 'tE7' to 'TE 7'; moved 'Note' to a new line prefixed with '- '.
TE 7,"On the posterior aspect of the forearm, just radial to the ulna, 3 B-cun proximal to the dorsal wrist crease. Note: TE7 is ulnar to TE6.","On the posterior aspect of the forearm, just radial to the ulna, 3 B-cun proximal to the dorsal wrist crease.
- Note: TE 7 is ulnar to TE 6.",normalized acupoint code 'TE7' to 'TE 7'; normalized acupoint code 'TE6' to 'TE 6'; moved 'Note' to a new line prefixed with '- '.
TE 8,"On the posterior aspect of the forearm, midpoint of the interosseous space between the radius and the ulna, 4 B-cun proximal to the dorsal wrist crease. Note: At the junction of the upper two thirds and lower one third of the line connecting tE4 with the tip of the elbow.","On the posterior aspect of the forearm, midpoint of the interosseous space between the radius and the ulna, 4 B-cun proximal to the dorsal wrist crease.
- Note: At the junction of the upper two thirds and lower one third of the line connecting TE 4 with the tip of the elbow.",normalized acupoint code 'tE4' to 'TE 4'; moved 'Note' to a new line prefixed with '- '.
TE 9,"On the posterior aspect of the forearm, midpoint of the interosseous space between the radius and the ulna, 5 B-cun distal to the prominence of the olecranon.","On the posterior aspect of the forearm, midpoint of the interosseous space between the radius and the ulna, 5 B-cun distal to the prominence of the olecranon.",No changes needed.
