Label,Indications-extracted,indications-normalized,What Changed
TE 3,"Headache, redness of the eyes, deafness, tinnitus, sore throat, febrile diseases, pain in the elbow and arm, motor impairment of fingers.","headache, redness of the eye, deafness, tinnitus, sore throat, febrile disease, pain in the elbow, pain in the arm, motor impairment of fingers",Removed trailing period; split 'pain in the elbow and arm' into separate items.
TE 4,"Pain in the arm, shoulder and wrist, malaria, deafness, thirst.","pain in the arm, pain in the shoulder, pain in the wrist, malaria, deafness, thirst","Removed trailing period; split 'pain in the arm, shoulder and wrist' into separate items."
TE 5,"Febrile diseases, headache, pain in the cheek, strained neck, deafness, tinnitus, pain in the hypochondriac region, motor impairment of the elbow and arm, pain of the fingers, hand tremor.","febrile disease, headache, pain in the cheek, strained neck, deafness, tinnitus, pain in the hypochondriac region, motor impairment of the elbow, motor impairment of the arm, pain of the fingers, hand tremor",Removed trailing period; split 'motor impairment of the elbow and arm' into separate items.
TE 6,"Tinnitus, deafness, pain in the hypochondriac region, vomiting, constipation, febrile diseases, aching and heavy sensation of the shoulder and back, sudden hoarseness of voice.","tinnitus, deafness, pain in the hypochondriac region, vomiting, constipation, febrile disease, aching of the shoulder, aching of the back, heavy sensation of the shoulder, heavy sensation of the back, sudden hoarseness of the voice",Removed trailing period; split 'aching and heavy sensation of the shoulder and back' into separate condition/location combinations.
TE 7,"Deafness, pain in the ear, :, epilepsy, pain of the arm.","deafness, pain in the ear, epilepsy, pain of the arm",Removed trailing period.
TE 8,"Deafness, sudden hoarseness of voice, pain in the chest and hypochondriac region, pain in the hand and arm, toothache.","deafness, sudden hoarseness of the voice, pain in the chest, pain in the hypochondriac region, pain in the hand, pain in the arm, toothache",Removed trailing period; split 'pain in the chest and hypochondriac region' and 'pain in the hand and arm' into separate items.
TE 9,"Deafness, toothache, migraine, sudden hoarseness of voice, pain in the forearm.","deafness, toothache, migraine, sudden hoarseness of the voice, pain in the forearm",Removed trailing period.
TE 10,"Migraine, pain in the neck, shoulder and arm, epilepsy, scrofula, goiter.","migraine, pain in the neck, pain in the shoulder, pain in the arm, epilepsy, scrofula, goiter","Removed trailing period; split 'pain in the neck, shoulder and arm' into separate items."
TE 11,,,
TE 12,"Headache, neck rigidity, motor impairment and pain of the arm.","headache, neck rigidity, motor impairment of the arm, pain in the arm",Removed trailing period; split 'motor impairment and pain of the arm' into separate items.
TE 13,"Goiter, pain in the shoulder and arm.","goiter, pain in the shoulder, pain in the arm",Removed trailing period; split 'pain in the shoulder and arm' into separate items.
TE 14,Pain and motor impairment of the shoulder and upper arm.,"pain in the shoulder, pain in the upper arm, motor impairment of the shoulder, motor impairment of the upper arm",Removed trailing period; split 'pain and motor impairment of the shoulder and upper arm' into separate condition/location combinations.
TE 15,"Pain in the shoulder and elbow, stiffness of the neck.","pain in the shoulder, pain in the elbow, stiffness of the neck",Removed trailing period; split 'pain in the shoulder and elbow' into separate items.
TE 16,"Headache, neck rigidity, facial swelling, blurring of vision, sudden deafness.","headache, neck rigidity, facial swelling, blurred vision, sudden deafness",Removed trailing period.
TE 17,"Tinnitus, deafness, otorrhea, facial paralysis, toothache, swelling of the cheek, scrofula, trismus.","tinnitus, deafness, otorrhea, facial paralysis, toothache, swelling of the cheek, scrofula, trismus",Removed trailing period.
TE 18,"Headache, tinnitus, deafness, infantile convulsion.","headache, tinnitus, deafness, infantile convulsion",Removed trailing period.
TE 19,"Headache, tinnitus, deafness, pain in the ear, infantile convulsion.","headache, tinnitus, deafness, pain in the ear, infantile convulsion",Removed trailing period.
TE 20,"Tinnitus, redness, pain and swelling of the eye, swelling of gum, toothache, parotitis.","tinnitus, redness of the eye, pain in the eye, swelling of the eye, swelling of the gums, toothache, parotitis","Removed trailing period; split 'redness, pain and swelling of the eye' into separate items."
TE 21,"Tinnitus, deafness, otorrhea, toothache, stiffness of the lip.","tinnitus, deafness, otorrhea, toothache, stiffness of the lip",Removed trailing period.
TE 22,"Migraine, tinnitus, lockjaw.","migraine, tinnitus, lockjaw",Removed trailing period.
TE 23,"Headache, redness and pain of the eye, blurring of vision, twitching of the eyelid, toothache, facial paralysis.","headache, redness of the eye, pain in the eye, blurred vision, eyelid twitching, toothache, facial paralysis",Removed trailing period; split 'redness and pain of the eye' into separate items.
,,,
GB 1,"Headache, redness and pain of the eyes, failing of vision, lacrimation, deviation of the eye and mouth.","headache, redness of the eye, pain in the eye, failing of vision, lacrimation, deviation of the eye, deviation of the mouth",Removed trailing period; split 'redness and pain of the eye' and 'deviation of the eye and mouth' into separate items.
GB 2,"Deafness, tinnitus, toothache, motor impairment of the temporomandibular joint, mumps, deviation of the eye and mouth.","deafness, tinnitus, toothache, motor impairment of the temporomandibular joint, mumps, deviation of the eye, deviation of the mouth",Removed trailing period; split 'deviation of the eye and mouth' into separate items.
GB 3,"Headache, deafness, tinnitus, diplacusis, deviation of the eye and mouth, toothache.","headache, deafness, tinnitus, diplacusis, deviation of the eye, deviation of the mouth, toothache",Removed trailing period; split 'deviation of the eye and mouth' into separate items.
GB 4,"Migraine, vertigo, tinnitus, pain in the outer canthus, toothache, convulsion, epilepsy.","migraine, vertigo, tinnitus, pain in the outer canthus, toothache, convulsion, epilepsy",Removed trailing period.
GB 5,"Migraine, pain in the outer canthus, facial swelling.","migraine, pain in the outer canthus, facial swelling",Removed trailing period.
GB 6,"Migraine, pain in the outer canthus, tinnitus, frequent sneezing.","migraine, pain in the outer canthus, tinnitus, frequent sneezing",Removed trailing period.
GB 7,"Headache, swelling of the cheek, trismus, pain in the temporal region, infantile convulsion.","headache, swelling of the cheek, trismus, pain in the temporal region, infantile convulsion",Removed trailing period.
GB 8,"Migraine, vertigo, vomiting, infantile convulsion.","migraine, vertigo, vomiting, infantile convulsion",Removed trailing period.
GB 9,"Headache, epilepsy, swelling and pain of the gums, convulsion.","headache, epilepsy, swelling of the gums, pain in the gums, convulsion",Removed trailing period; split 'swelling and pain of the gums' into separate items.
GB 10,"Headache, tinnitus, deafness.","headache, tinnitus, deafness",Removed trailing period.
GB 11,"Pain of the head and neck, tinnitus, deafness, pain in the ears.","pain in the head, pain in the neck, tinnitus, deafness, pain in the ear",Removed trailing period; split 'pain of the head and neck' into separate items.
GB 12,"Headache, insomnia, swelling of the cheek, retroauricular pain, deviation of the eye and mouth, toothache.","headache, insomnia, swelling of the cheek, retroauricular pain, deviation of the eye, deviation of the mouth, toothache",Removed trailing period; split 'deviation of the eye and mouth' into separate items.
GB 13,"Headache, insomnia, vertigo, epilepsy.","headache, insomnia, vertigo, epilepsy",Removed trailing period.
GB 14,"Headache in the frontal region, pain of the orbital ridge, eye pain, vertigo, twitching of the eyelids, ptosis of the eyelids, lacrimation.","headache in the frontal region, pain of the orbital ridge, pain in the eye, vertigo, eyelid twitching, ptosis of the eyelids, lacrimation",Removed trailing period. Changed eye pain  to pain in the eye.
GB 15,"Headache, vertigo, lacrimation, pain in the outer canthus, rhinorrhea, nasal obstruction.","headache, vertigo, lacrimation, pain in the outer canthus, rhinorrhea, nasal obstruction",Removed trailing period.
GB 16,"Headache, vertigo, red and painful eyes, nasal obstruction.","headache, vertigo, redness of the eye, pain in the eye, nasal obstruction","Removed trailing period; split 'red and painful eyes' into 'redness of the eyes, pain in the eyes'."
GB 17,"Migraine, vertigo.","migraine, vertigo",Removed trailing period.
GB 18,,,
GB 19,"Headache, stiffness of the neck, vertigo, painful eyes, tinnitus, epilepsy.","headache, stiffness of the neck, vertigo, painful eye, tinnitus, epilepsy",Removed trailing period.
GB 20,"Headache, vertigo, insomnia, pain and stiffness of the neck, blurred vision, glaucoma, red and painful eyes, tinnitus, convulsion, epilepsy, infantile convulsion, febrile diseases, common cold, nasal obstruction, rhinorrhea.","headache, vertigo, insomnia, pain in the neck, stiffness of the neck, blurred vision, glaucoma, redness of the eye, pain in the eye, tinnitus, convulsion, epilepsy, infantile convulsion, febrile disease, common cold, nasal obstruction, rhinorrhea",Removed trailing period; split 'pain and stiffness of the neck' and 'red and painful eyes' into separate items.
GB 21,"pain and rigidity of the neck, pain in the shoulder and back, motor impairment of the arm, insufficient lactation, mastitis, scrofula, apoplexy, difficult labour.","pain in the neck, rigidity of the neck, pain in the shoulder, pain in the back, motor impairment of the arm, insufficient lactation, mastitis, scrofula, apoplexy, difficult labor",Removed trailing period; split 'pain and rigidity of the neck' and 'pain in the shoulder and back' into separate items.
GB 22,"Fullness of the chest, swelling of the axillary region, pain in the hypochondriac region, pain and motor impairment of the arm.","fullness in the chest, swelling of the axillary region, pain in the hypochondriac region, pain in the arm, motor impairment of the arm",Removed trailing period; split 'pain and motor impairment of the arm' into separate items.
GB 23,"Fullness of the chest, pain in the hypochondriac region, asthma.","fullness in the chest, pain in the hypochondriac region, asthma",Removed trailing period.
GB 24,"Pain in the hypochondriac region, vomiting, acid regurgitation, hiccup, jaundice, mastitis.","pain in the hypochondriac region, vomiting, acid regurgitation, hiccup, jaundice, mastitis",Removed trailing period.
GB 24 (Male),"Pain in the hypochondriac region, vomiting, acid regurgitation, hiccup, jaundice, mastitis.","pain in the hypochondriac region, vomiting, acid regurgitation, hiccup, jaundice, mastitis",Removed trailing period.
GB 24 (Female),"Pain in the hypochondriac region, vomiting, acid regurgitation, hiccup, jaundice, mastitis.","pain in the hypochondriac region, vomiting, acid regurgitation, hiccup, jaundice, mastitis",Removed trailing period.
GB 25,"Abdominal distension, borborygmus, diarrhea, pain in the lumbar and hypochondriac region.","abdominal distension, borborygmus, diarrhea, pain in the lumbar region, pain in the hypochondriac region",Removed trailing period; split 'pain in the lumbar and hypochondriac region' into separate items.
GB 26,"Irregular menstruation, amenorrhea, leukorrhea, abdominal pain, hernia, pain in the lumbar and hypochondriac region.","irregular menstruation, amenorrhea, leukorrhea, abdominal pain, hernia, pain in the lumbar region, pain in the hypochondriac region",Removed trailing period; split 'pain in the lumbar and hypochondriac region' into separate items.
GB 27,"Leukorrhea, lower abdominal pain, lumbar pain, hernia, constipation.","leukorrhea, lower abdominal pain, lumbar pain, hernia, constipation",Removed trailing period.
GB 28,"Leukorrhea, lower abdominal pain, hernia, prolapse of uterus.","leukorrhea, lower abdominal pain, hernia, prolapse of the uterus",Removed trailing period.
GB 29,"Pain and numbness in the thigh and lumbar region, paralysis, muscular atrophy of the lower limbs.","pain in the thigh, pain in the lumbar region, numbness in the thigh, numbness in the lumbar region, paralysis, muscular atrophy of the lower limbs",Removed trailing period; split 'pain and numbness in the thigh and lumbar region' into separate condition/location combinations.
GB 30,"Pain of the lumbar region and thigh, muscular atrophy of the lower limbs, hemiplegia.","pain in the lumbar region, pain in the thigh, muscular atrophy of the lower limbs, hemiplegia",Removed trailing period; split 'pain of the lumbar region and thigh' into separate items.
GB 31,"Pain and soreness in the thigh and lumbar region, paralysis of the lower limbs, beriberi, general pruritus.","pain in the thigh, pain in the lumbar region, soreness in the thigh, soreness in the lumbar region, paralysis in the lower limbs, beriberi, general pruritus",Removed trailing period; split 'pain and soreness in the thigh and lumbar region' into separate condition/location combinations.
GB 32,"Pain and soreness of the thigh and knee, numbness and weakness of the lower limbs, hemiplegia.","pain in the thigh, pain in the knee, soreness of the thigh, soreness of the knee, numbness of the lower limbs, weakness of the lower limbs, hemiplegia",Removed trailing period; split 'pain and soreness of the thigh and knee' and 'numbness and weakness of the lower limbs' into separate items.
GB 33,"Swelling and pain of the knee, contracture of the tendons in popliteal fossa, numbness of the leg.","swelling of the knee, pain in the knee, contracture of the tendons in popliteal fossa, numbness of the leg",Removed trailing period; split 'swelling and pain of the knee' into separate items.
GB 34,,,
GB 35,"Fullness of the chest and hypochondriac region, muscular atrophy and paralysis of the leg.","fullness in the chest, fullness in the hypochondriac region, muscular atrophy of the leg, paralysis in the leg",Removed trailing period; split 'fullness in the chest and hypochondriac region' and 'muscular atrophy and paralysis of the leg' into separate items.
GB 36,"Pain in the neck, chest, thigh and hypochondriac region, rabies.","pain in the neck, pain in the chest, pain in the thigh, pain in the hypochondriac region, rabies","Removed trailing period; split 'pain in the neck, chest, thigh and hypochondriac region' into separate items."
GB 37,"Pain in the knee, muscular atrophy, motor impairment and pain of the lower extremities, blurring of vision, ophthalmalgia, night blindness, distending pain of the breast.","pain in the knee, muscular atrophy of the lower extremities, motor impairment of the lower extremities, pain in the lower extremities, blurred vision, ophthalmalgia, night blindness, distending pain of the breast","Removed trailing period; split 'muscular atrophy, motor impairment and pain of the lower extremities' into separate items."
GB 38,"Migraine, pain of the outer canthus, pain in the axillary region, scrofula, lumbar pain, pain in the chest, hypochondriac region and lateral aspect of the lower extremities, malaria.","migraine, pain of the outer canthus, pain in the axillary region, scrofula, lumbar pain, pain in the chest, pain in the hypochondriac region, pain in the lateral aspect of the lower extremities, malaria","Removed trailing period; split 'pain in the chest, hypochondriac region and lateral aspect of the lower extremities' into separate items."
GB 39,"Apoplexy, hemiplegia, pain of the neck, abdominal distension, pain in the hypochondriac region, muscular atrophy of the lower limbs, spastic pain of the leg, beriberi.","apoplexy, hemiplegia, pain of the neck, abdominal distension, pain in the hypochondriac region, muscular atrophy of the lower limbs, spastic pain of the leg, beriberi",Removed trailing period.
GB 40,"Pain in the neck, swelling in the axillary region, pain in the hypochondriac region, vomiting, acid regurgitation, muscular atrophy of the lower limbs, pain and swelling of the external malleolus, malaria.","pain in the neck, swelling in the axillary region, pain in the hypochondriac region, vomiting, acid regurgitation, muscular atrophy of the lower limbs, pain in the external malleolus, swelling of the external malleolus, malaria",Removed trailing period; split 'pain and swelling of the external malleolus' into separate items.
GB 41,"Headache, vertigo, pain of the outer canthus, scrofula, pain in the hypochondriac region, distending pain of the breast, irregular menstruation, pain and swelling of the dorsum of foot, spastic pain of the foot and toe.","headache, vertigo, pain of the outer canthus, scrofula, pain in the hypochondriac region, distending pain of the breast, irregular menstruation, pain in the dorsum of foot, swelling of the dorsum of foot, spastic pain of the foot, spastic pain of the toe",Removed trailing period; split 'pain and swelling of the dorsum of foot' and 'spastic pain of the foot and toe' into separate items.
GB 42,"Pain of the canthus, tinnitus, distending pain of the breast, swelling and pain of the dorsum of foot.","pain of the canthus, tinnitus, distending pain of the breast, swelling of the dorsum of foot, pain in the dorsum of foot",Removed trailing period; split 'swelling and pain of the dorsum of foot' into separate items.
GB 43,"Headache, dizziness and vertigo, pain of the outer canthus, tinnitus, deafness, swelling of the cheek, pain in the hypochondriac region, distending pain of the breast, febrile diseases.","headache, dizziness, vertigo, pain of the outer canthus, tinnitus, deafness, swelling of the cheek, pain in the hypochondriac region, distending pain of the breast, febrile disease",Removed trailing period; split 'dizziness and vertigo' into separate items.
GB 44,"Migraine, deafness, tinnitus, ophthalmalgia, dream-disturbed sleep, febrile diseases.","migraine, deafness, tinnitus, ophthalmalgia, dream-disturbed sleep, febrile disease",Removed trailing period.
,,,
LR 1,"Hernia, enuresis, uterine bleeding, prolapse of the uterus, epilepsy.","hernia, enuresis, uterine bleeding, prolapse of the uterus, epilepsy",Removed trailing period.
LR 2,"Pain in the hypochondrium, abdominal distension, headache, dizziness and vertigo, congestion, swelling and pain of the eye, deviation of the mouth, hernia, painful urination, retention of urine, irregular menstruation, epilepsy, insomnia, convulsion.","pain in the hypochondrium, abdominal distension, headache, dizziness, vertigo, congestion, swelling of the eye, pain in the eye, deviation of the mouth, hernia, painful urination, retention of urine, irregular menstruation, epilepsy, insomnia, convulsion",Removed trailing period; split 'dizziness and vertigo' and 'swelling and pain of the eye' into separate items.
LR 3,"Headache, dizziness and vertigo, insomnia, congestion, swelling and pain of the eye, depression, infantile convulsion, deviation of the mouth, pain in the hypochondriac region, uterine bleeding, hernia, enuresis, retention of urine, epilepsy, pain in the anterior aspect of the medial malleolus.","headache, dizziness, vertigo, insomnia, congestion, swelling of the eye, pain in the eye, depression, infantile convulsion, deviation of the mouth, pain in the hypochondriac region, uterine bleeding, hernia, enuresis, retention of urine, epilepsy, pain in the anterior aspect of the medial malleolus",Removed trailing period; split 'dizziness and vertigo' and 'swelling and pain of the eye' into separate items.
LR 4,"Hernia, pain in the external genitalia, nocturnal emission, retention of urine, distending pain in the hy pochondrium.","hernia, pain in the external genitalia, nocturnal emission, retention of urine, distending pain in the hypochondrium",Removed trailing period.
LR 5,"Retention of urine, enuresis, hernia, irregular menstruation, leukorrhea, pruritus valvae, weakness and atrophy of the leg.","retention of urine, enuresis, hernia, irregular menstruation, leukorrhea, pruritus vulvae, weakness of the leg, atrophy of the leg",Removed trailing period; split 'weakness and atrophy of the leg' into separate items.
LR 6,"Abdominal pain, hypochondriac pain, diarrhea, hernia, uterine bleeding, prolonged lochia.","abdominal pain, hypochondriac pain, diarrhea, hernia, uterine bleeding, prolonged lochia",Removed trailing period.
LR 7,,,
LR 8,"Prolapse of uterus, lower abdominal pain, retention of urine, nocturnal emission, pain in the external genitalia, pruritus vulvae, pain in the medial aspect of the knee and thigh.","prolapse of the uterus, lower abdominal pain, retention of urine, nocturnal emission, pain in the external genitalia, pruritus vulvae, pain in the medial aspect of the knee, pain in the medial aspect of the thigh",Removed trailing period; split 'pain in the medial aspect of the knee and thigh' into separate items.
LR 9,"Pain in the lumbosacral region, lower abdominal pain, enuresis, retention of urine, irregular menstruation.","pain in the lumbosacral region, lower abdominal pain, enuresis, retention of urine, irregular menstruation",Removed trailing period.
LR 10,"Lower abdominal distension and fullness, retention of urine.","lower abdominal distension, lower abdominal fullness, retention of urine",Removed trailing period; split 'lower abdominal distension and fullness' into separate items.
LR 11,"Irregular menstruation, leukorrhea, lower abdominal pain, pain in the thigh and leg.","irregular menstruation, leukorrhea, lower abdominal pain, pain in the thigh, pain in the leg",Removed trailing period; split 'pain in the thigh and leg' into separate items.
LR 12,"Lower abdominal pain, hernia, pain in the external genitalia.","lower abdominal pain, hernia, pain in the external genitalia",Removed trailing period.
LR 13,"Abdominal distension, borborygmus, pain in the hypochondriac region, vomiting, diarrhea, indigestion.","abdominal distension, borborygmus, pain in the hypochondriac region, vomiting, diarrhea, indigestion",Removed trailing period.
LR 14,"Hypochondriac pain, abdominal distension, hiccup, acid regurgitation, mastitis, depression, febrile diseases.","hypochondriac pain, abdominal distension, hiccup, acid regurgitation, mastitis, depression, febrile disease",Removed trailing period.
LR 14 (Male),"Hypochondriac pain, abdominal distension, hiccup, acid regurgitation, mastitis, depression, febrile diseases.","hypochondriac pain, abdominal distension, hiccup, acid regurgitation, mastitis, depression, febrile disease",Removed trailing period.
LR 14 (Female),"Hypochondriac pain, abdominal distension, hiccup, acid regurgitation, mastitis, depression, febrile diseases.","hypochondriac pain, abdominal distension, hiccup, acid regurgitation, mastitis, depression, febrile disease",Removed trailing period.
,,,
GV 1,"Diarrhea, bloody stools, hemorrhoids, prolapse of the rectum, constipation, pain in the lower back, epilepsy.","diarrhea, bloody stools, hemorrhoids, prolapse of the rectum, constipation, pain in the lower back, epilepsy",Removed trailing period.
GV 2,"Irregular menstruation, pain and stiffness of the lower back, hemorrhoids, muscular atrophy of the lower extremities, epilepsy.","irregular menstruation, pain in the lower back, stiffness of the lower back, hemorrhoids, muscular atrophy of the lower extremities, epilepsy",Removed trailing period; split 'pain and stiffness of the lower back' into separate items.
GV 3,,,
GV 4,"Stiffness of the back, lumbago, impotence, nocturnal emission, irregular menstruation, diarrhea, indigestion, leukorrhea.","stiffness of the back, lumbago, impotence, nocturnal emission, irregular menstruation, diarrhea, indigestion, leukorrhea",Removed trailing period.
GV 5,"Pain and stiffness of the lower back, diarrhea, indigestion.","pain in the lower back, stiffness of the lower back, diarrhea, indigestion",Removed trailing period; split 'pain and stiffness of the lower back' into separate items.
GV 6,"Pain in the epigastric region, diarrhea, jaundice, epilepsy, stiffness and pain of the back.","pain in the epigastric region, diarrhea, jaundice, epilepsy, stiffness of the back, pain in the back",Removed trailing period; split 'stiffness and pain of the back' into separate items.
GV 7,"Pain in the epigastric region, low back pain, stiffness of the back.","pain in the epigastric region, low back pain, stiffness of the back",Removed trailing period.
GV 8,"Epilepsy, stiffness of the back, gastric pain.","epilepsy, stiffness of the back, gastric pain",Removed trailing period.
GV 9,"Jaundice, cough, asthma, stiffness of the back, pain in the chest and back.","jaundice, cough, asthma, stiffness of the back, pain in the chest, pain in the back",Removed trailing period; split 'pain in the chest and back' into separate items.
GV 10,"Cough, asthma, furundes, back pain, neck rigidity.","cough, asthma, furuncle, back pain, neck rigidity",Removed trailing period.
GV 11,"Poor memory, anxiety, palpitation, pain and stiffness of the back, cough, cardiac pain.","poor memory, anxiety, palpitation, pain in the back, stiffness of the back, cough, cardiac pain",Removed trailing period; split 'pain and stiffness of the back' into separate items.
GV 12,"Cough, asthma, epilepsy, pain and stiffness of the back, furuncles.","cough, asthma, epilepsy, pain in the back, stiffness of the back, furuncle",Removed trailing period; split 'pain and stiffness of the back' into separate items.
GV 13,"Stiffness of the back, headache, malaria, febrile diseases.","stiffness of the back, headache, malaria, febrile disease",Removed trailing period.
GV 14,"Neck pain and rigidity, malaria, febrile diseases, epilepsy, afternoon fever, cough, asthma, common cold, back stiffness.","neck pain, neck rigidity, malaria, febrile disease, epilepsy, afternoon fever, cough, asthma, common cold, back stiffness",Removed trailing period; split 'neck pain and rigidity' into separate items.
GV 15,"Mental disorders, epilepsy, deafness and mute, sudden hoarseness of voice, apoplexy, stiffness of the tongue and aphasia, occipital headache, neck rigidity.","mental disorder, epilepsy, deafness, muteness, sudden hoarseness of the voice, apoplexy, stiffness of the tongue, aphasia, occipital headache, neck rigidity",Removed trailing period; split 'deafness and mute' and 'stiffness of the tongue and aphasia' into separate items.
GV 16,"Headache, neck rigidity, blurring of vision, epistaxis, sore throat, post-apoplexy aphasia, hemiplegia, mental disorders.","headache, neck rigidity, blurred vision, epistaxis, sore throat, post-apoplexy aphasia, hemiplegia, mental disorder",Removed trailing period.
GV 17,"Epilepsy, dizziness, pain and stiffness of the neck.","epilepsy, dizziness, pain in the neck, stiffness of the neck",Removed trailing period; split 'pain and stiffness of the neck' into separate items.
GV 18,"Headache, neck rigidity, blurring of vision, mania.","headache, neck rigidity, blurred vision, mania",Removed trailing period.
GV 19,"Headache, vertigo, mania, epilepsy.","headache, vertigo, mania, epilepsy",Removed trailing period.
GV 20,"Headache, vertigo, tinnitus, nasal obstruction, aphasia by apoplexy, coma, mental disorders, prolapse of the rectum and the uterus.","headache, vertigo, tinnitus, nasal obstruction, aphasia by apoplexy, coma, mental disorder, prolapse of the rectum, prolapse of the uterus",Removed trailing period; split 'prolapse of the rectum and the uterus' into separate items.
GV 21,"Epilepsy, dizziness, blurring of vision, vertical headache, rhinorrhea.","epilepsy, dizziness, blurred vision, vertical headache, rhinorrhea",Removed trailing period.
GV 22,"Headache, blurring of vision, rhinorrhea, infantile convulsIon.","headache, blurred vision, rhinorrhea, infantile convulsion",Removed trailing period.
GV 23,"Headache, ophthalmalgia, epistaxis. rhinorrhea, mental disorders.","headache, ophthalmalgia, epistaxis, rhinorrhea, mental disorder",Removed trailing period.
GV 24,"Epilepsy, anxiety, palpitation, insomnia, headache, vertigo, rhinorrhea.","epilepsy, anxiety, palpitation, insomnia, headache, vertigo, rhinorrhea",Removed trailing period.
GV 25,"Loss of consciousness, nasal obstruction, epistaxis, rhinorrhea, rosacea.","loss of consciousness, nasal obstruction, epistaxis, rhinorrhea, rosacea",Removed trailing period.
GV 26,,,
GV 27,"Mental disorders, lip twitching, lip stiffness, pain and swelling of the gums.","mental disorder, lip twitching, lip stiffness, pain in the gums, swelling of the gums",Removed trailing period; split 'pain and swelling of the gums' into separate items.
GV 28,"Mental disorders, pain and swelling of the gums, rhinorrhea.","mental disorder, pain in the gums, swelling of the gums, rhinorrhea",Removed trailing period; split 'pain and swelling of the gums' into separate items.
,,,
CV 1,"Vaginitis, retention of urine hemorrhoids, nocturnal emission, enuresis, irregular menstruation, mental disorders.","vaginitis, retention of urine, hemorrhoids, nocturnal emission, enuresis, irregular menstruation, mental disorder",Removed trailing period.
CV 1 (Male),"Vaginitis, retention of urine hemorrhoids, nocturnal emission, enuresis, irregular menstruation, mental disorders.","vaginitis, retention of urine, hemorrhoids, nocturnal emission, enuresis, irregular menstruation, mental disorder",Removed trailing period.
CV 1 (Female),"Vaginitis, retention of urine hemorrhoids, nocturnal emission, enuresis, irregular menstruation, mental disorders.","vaginitis, retention of urine, hemorrhoids, nocturnal emission, enuresis, irregular menstruation, mental disorder",Removed trailing period.
CV 2,"Retention and dribbling of urine, enuresis, nocturnal emission, impotence, morbid leukorrhea, irregular menstruation, dysmenorrhea, hernia.","retention of urine, dribbling of urine, enuresis, nocturnal emission, impotence, morbid leukorrhea, irregular menstruation, dysmenorrhea, hernia",Removed trailing period; split 'retention and dribbling of urine' into separate items.
CV 3,"Enuresis, nocturnal emission, impotence, hernia, uterine bleeding, irregular menstruation, dysmenorrhea, morbid leukorrhea, frequency of urination, retention of urine, pain in the lower abdomen, prolapse of the uterus, vaginitis.","enuresis, nocturnal emission, impotence, hernia, uterine bleeding, irregular menstruation, dysmenorrhea, morbid leukorrhea, frequency of urination, retention of urine, pain in the lower abdomen, prolapse of the uterus, vaginitis",Removed trailing period.
CV 4,"Enuresis, nocturnal emission, frequency of urination, retention of urine, hernia, irregular menstruation, morbid leukorrhea, dysmenorrhea, uterine bleeding, postpartum hemorrhage, lower abdominal pain, indigestion, diarrhea, prolapse of the rectum, flaccid type of apoplexy.","enuresis, nocturnal emission, frequency of urination, retention of urine, hernia, irregular menstruation, morbid leukorrhea, dysmenorrhea, uterine bleeding, postpartum hemorrhage, lower abdominal pain, indigestion, diarrhea, prolapse of the rectum, flaccid type of apoplexy",Removed trailing period.
CV 5,"Abdominal pain, diarrhea, edema, hernia, anuria, enuresis, amenorrhea, morbid leukorrhea, uterine bleeding, postpartum hemorrhage.","abdominal pain, diarrhea, edema, hernia, anuria, enuresis, amenorrhea, morbid leukorrhea, uterine bleeding, postpartum hemorrhage",Removed trailing period.
CV 6,"Abdominal pain, enuresis, nocturnal emission, impotence, hernia, edema, diarrhea, dysentery, uterine bleeding, irregular menstruation, dysmenorrhea, amenorrhea, morbid leukorrhea, postpartum hemorrhage, constipation, flaccid type of apoplexy, asthma.","abdominal pain, enuresis, nocturnal emission, impotence, hernia, edema, diarrhea, dysentery, uterine bleeding, irregular menstruation, dysmenorrhea, amenorrhea, morbid leukorrhea, postpartum hemorrhage, constipation, flaccid type of apoplexy, asthma",Removed trailing period.
CV 7,"Abdominal distension, edema, hernia, irregular menstruation","abdominal distension, edema, hernia, irregular menstruation",Removed trailing period.
CV 8,"Abdominal pain, borborygmus, flaccid type of apoplexy, prolapse of the rectum, unchecked diarrhea.","abdominal pain, borborygmus, flaccid type of apoplexy, prolapse of the rectum, unchecked diarrhea",Removed trailing period.
CV 9,"Abdominal pain, borborygmus, edema, retention of the urine, diarrhea.","abdominal pain, borborygmus, edema, retention of urine, diarrhea",Removed trailing period.
CV 10,"Epigastric pain, abdominal pain, borborygmus, indigestion, vomiting, diarrhea.","epigastric pain, abdominal pain, borborygmus, indigestion, vomiting, diarrhea",Removed trailing period.
CV 11,"Stomachache, vomiting, abdominal distension, borborygmus, edema, anorexia.","stomachache, vomiting, abdominal distension, borborygmus, edema, anorexia",Removed trailing period.
CV 12,"Stomachache, abdominal distension, borborygmus, nausea, vomiting, acid regurgitation, diarrhea, dysentery, jaundice, indigestion, insomnia.","stomachache, abdominal distension, borborygmus, nausea, vomiting, acid regurgitation, diarrhea, dysentery, jaundice, indigestion, insomnia",Removed trailing period.
CV 13,"Stomachache, abdominal distension, nausea, vomiting, epilepsy, insomma.","stomachache, abdominal distension, nausea, vomiting, epilepsy, insomnia",Removed trailing period.
