"Artcle-URI","Article-Title","Condition-Extracted-Western","Normalized-Condition-Western","Condition-Extracted-TCM","Normalized-Condition-TCM","Comment from TEAM-Core","MONDO-OR-HP-Term","Exact-OR-Synonym","MONDO-OR-HP-Term-URI","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1399-6576.1992.tb03511.x","Acupuncture treatment of severe knee osteoarthrosis. A long-term study","Osteoarthritis of the knee","Osteoarthritis of the knee","Not specified (the paper does not explicitly translate the condition into TCM terminology)","Not specified (the paper does not explicitly translate the condition into TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1399-6576.1994.tb03839.x","Importance of modes of acupuncture in the treatment of chronic nociceptive low back pain","Chronic nociceptive low back pain","Chronic nociceptive low back pain","Not specified (the paper does not explicitly mention a TCM term for the condition)","Not specified (the paper does not explicitly mention a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1440-1819.1998.tb03262.x","Clinical research on the therapeutic effect of the electro-acupuncture treatment in patients with depression","Depression","Depression","Not specified (the paper does not explicitly mention a TCM term for the condition)","Not specified (the paper does not explicitly mention a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1460-9592.2009.03129.x","Acupuncture management of pain and emergence agitation in children after bilateral myringotomy and tympanostomy tube insertion","Postoperative pain and emergence agitation following bilateral myringotomy and tympanostomy tube (BMT) placement","Postoperative pain and emergence agitation following bilateral myringotomy and tympanostomy tube (BMT) placement","Not specified (the paper does not mention any TCM terminology or conditions)","Not specified (the paper does not mention any TCM terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1463-1326.2009.01192.x","Acupuncture: is it effective for treatment of insulin resistance?","Insulin resistance (IR)","Insulin resistance (IR)","Not specified (the paper discusses insulin resistance and related conditions but does not explicitly state a primary TCM disease or condition)","Not specified (the paper discusses insulin resistance and related conditions but does not explicitly state a primary TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1464-410X.2009.08422.x","Acupuncture for treating erectile dysfunction: a systematic review","Erectile Dysfunction (ED)","Erectile Dysfunction (ED)","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1466-7657.2003.00205.x","Effects of acupuncture and care interventions on the outcome of inflammatory symptoms of the breast in lactating women","Inflammatory symptoms of the breast during lactation","Inflammatory symptoms of the breast during lactation","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1468-2982.2006.01209.x","Chronic tension type headache treated with acupuncture, physical training and relaxation training. Between group differences","Chronic tension type headache (CTTH)","Chronic tension type headache (CTTH)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1468-2982.2000.00097.x","Acupuncture for episodic tension-type headache: a multicentre randomized controlled trial","Episodic tension-type headache (ETTH)","Episodic tension-type headache (ETTH)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine (TCM) terminology)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine (TCM) terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1468-2982.2004.00803.x","Role of the needling per se in acupuncture as prophylaxis for menstrually related migraine: a randomized placebo-controlled study","Menstrually related migraine","Menstrually related migraine","Not specified (the paper does not explicitly mention a TCM term for the condition)","Not specified (the paper does not explicitly mention a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1468-2982.2006.01062.x","Acupuncture in migraine prophylaxis: a randomized sham-controlled trial","Migraine","Migraine","Not specified (migraine is not a recognized entity in TCM)","Not specified (migraine is not a recognized entity in TCM)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1468-2982.2008.01640.x","Acupuncture in patients with headache","Primary headache","Primary headache","Not specified (the paper does not provide TCM terminology for the conditions studied)","Not specified (the paper does not provide TCM terminology for the conditions studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1471-0528.2002.01212.x","Acupuncture treatment during labour a randomised controlled trial","Not specified (the paper focuses on acupuncture during labor, which is a natural process rather than a disease or condition)","Labor","Not specified (the paper does not mention TCM terminology or conditions)","Not specified (the paper does not mention TCM terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1471-0528.2008.01838.x","A systematic review and meta-analysis of acupuncture in in vitro fertilisation","Infertility","Infertility","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1471-0528.2008.01904.x","Acupuncture as an adjunct to standard treatment for pelvic girdle pain in pregnant women: randomised double-blinded controlled trial comparing acupuncture with non-penetrating sham acupuncture","Pelvic girdle pain (PGP)","Pelvic girdle pain (PGP)","Not specified (the paper does not explicitly translate the condition into Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly translate the condition into Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1471-0528.2008.02016.x","Ear acupuncture or local anaesthetics as pain relief during postpartum surgical repair: a randomised controlled trial","Pain during postpartum surgical repair","Pain during postpartum surgical repair","Not specified (the paper does not mention any Traditional Chinese Medicine (TCM) terminology or conditions)","Not specified (the paper does not mention any Traditional Chinese Medicine (TCM) terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1471-0528.2010.02489.x","Acupuncture for primary dysmenorrhoea: a systematic review","Primary dysmenorrhoea","Primary dysmenorrhoea","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1471-0528.2010.02570.x","Acupuncture for pain relief in labour: a systematic review and meta-analysis","Labor pain","Labor pain","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1471-0528.2010.02647.x","Acupuncture for the induction of labour: a double-blind randomised controlled study","Post-term pregnancy","Post-term pregnancy","Not specified (the paper does not explicitly mention a TCM condition or disease)","Not specified (the paper does not explicitly mention a TCM condition or disease)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1471-0528.2010.02825.x","Acupuncture for pain relief during induced labour in nulliparae: a randomised controlled study","Pain during labour","Pain during labour","Not specified (the paper does not explicitly mention a TCM term for the condition)","Not specified (the paper does not explicitly mention a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1471-0528.2011.02994.x","Acupuncture for premenstrual syndrome: a systematic review and meta-analysis of randomised controlled trials","Premenstrual syndrome (PMS)","Premenstrual syndrome (PMS)","Not specified (the paper does not provide a specific TCM disease or condition terminology for PMS)","Not specified (the paper does not provide a specific TCM disease or condition terminology for PMS)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1479-828X.2006.00674.x","The effects of acupuncture during labour on nulliparous women:A randomised controlled trial","Labor pain and duration of active phase of labor","Labor pain and duration of active phase of labor","Not specified (the paper does not explicitly mention a TCM condition or disease)","Not specified (the paper does not explicitly mention a TCM condition or disease)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1521-0391.2013.12079.x","Acupuncture and Relaxation Response for Craving and Anxiety Reduction among Military Veterans in Recovery from Substance Use Disorder","Substance Use Disorder (SUD)","Substance Use Disorder (SUD)","Not specified (the paper does not mention TCM terminology or conditions)","Not specified (the paper does not mention TCM terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1523-536x.2008.00290.x","Acupuncture as Pain Relief During Delivery: A Randomized Controlled Trial","Pain during childbirth","Pain during childbirth","Not specified (the paper does not explicitly mention a TCM condition or disease)","Not specified (the paper does not explicitly mention a TCM condition or disease)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1526-4610.1983.hed2302066.x","Acupuncture Treatment of Chronic Facial Pain A Controlled Cross-over Trial","Chronic facial pain (including atypical facial pain, atypical trigeminal neuralgia, and typical trigeminal neuralgia)","Chronic facial pain (including atypical facial pain, atypical trigeminal neuralgia, and typical trigeminal neuralgia)","Not specified (the paper does not explicitly state the disease or condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly state the disease or condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1526-4610.2004.04077.x","Electroacupuncture for Tension-type Headache on Distal Acupoints Only: A Randomized, Controlled, Crossover Trial","Tension-type headache (TTH)","Tension-type headache (TTH)","Not specified (the paper does not provide a specific TCM term for the condition)","Not specified (the paper does not provide a specific TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1526-4610.2005.00235.x","A Randomized, Controlled Trial of Acupuncture for Chronic Daily Headache","Chronic Daily Headache (CDH)","Chronic Daily Headache (CDH)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1526-4610.2006.00598.x","Effectiveness and Tolerability of Acupuncture Compared With Metoprolol in Migraine Prophylaxis","Migraine","Migraine","Not specified (the paper does not explicitly state the TCM terminology for the condition being studied)","Not specified (the paper does not explicitly state the TCM terminology for the condition being studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1526-4610.2007.00916.x","Traditional Acupuncture in Migraine: A Controlled, Randomized Study","Migraine without aura","Migraine without aura","Migraine without aura; TCM syndromes: Excess of Liver yang, Deficiency of Kidney essence","Migraine without aura; TCM syndromes: Excess of Liver yang, Deficiency of Kidney essence","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1526-4610.2009.01424.x","Acupuncture for Treating Acute Attacks of Migraine: A Randomized Controlled Trial","Migraine","Migraine","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1526-4637.2010.01017.x","Immediate Analgesia Effect of Single Point Acupuncture in Primary Dysmenorrhea: A Randomized Controlled Trial","Primary dysmenorrhea","Primary dysmenorrhea","Not specified (the paper does not explicitly state the TCM terminology for primary dysmenorrhea)","Not specified (the paper does not explicitly state the TCM terminology for primary dysmenorrhea)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1526-4637.2010.01051.x","The Effect of Brief Electrical and Manual Acupuncture Stimulation on Mechanical Experimental Pain","Not specified (the paper focuses on mechanical experimental pain and analgesia without specifying a particular disease or condition)","Experimental pain, Healthy volunteers","Not specified (the paper does not mention a specific disease or condition in TCM terminology)","Not specified (the paper does not mention a specific disease or condition in TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1526-4637.2012.01376.x","Efficacy of Acupuncture for Acute Migraine Attack: A Multicenter Single Blinded, Randomized Controlled Trialp me_1376 623..630","Migraine","Migraine","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1530-0277.1987.tb01310.x","Acupuncture Treatment of Alcoholic Recidivism: A Pilot Study","Alcoholism","Alcoholism","Not specified (the paper does not provide a TCM term for the condition being studied)","Not specified (the paper does not provide a TCM term for the condition being studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1530-0277.2006.00333.x","Ear Acupuncture for Alcohol Withdrawal in Comparison With Aromatherapy: A Randomized-Controlled Trial","Alcohol withdrawal","Alcohol withdrawal","Not specified (the paper does not mention TCM terminology or conditions)","Not specified (the paper does not mention TCM terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1530-0277.2009.00959.x","Acupuncture for Alcohol Dependence: A Systematic Review","Alcohol Dependence","Alcohol Dependence","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1532-5415.2007.01314.x","Efficacy of Periosteal Stimulation Therapy for the Treatment of Osteoarthritis-Associated Chronic Knee Pain: An Initial Controlled Clinical Trial","Osteoarthritis (OA) of the knee","Osteoarthritis (OA) of the knee","Not specified (the paper does not mention any Traditional Chinese Medicine terminology or conditions)","Not specified (the paper does not mention any Traditional Chinese Medicine terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1533-2500.2007.00140.x","The Short-Term Effects of Acupuncture on Myofascial Pain Patients After Clenching","Myofascial pain","Myofascial pain","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1533-2500.2010.00396.x","Comparison of Acupuncture to Injection for Myofascial Trigger Point Pain","Myofascial pain syndrome","Myofascial pain syndrome","Not specified (the paper does not explicitly translate the condition into Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly translate the condition into Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1540-8167.2010.01878.x","Efficacy of Acupuncture in Preventing Atrial Fibrillation Recurrences After Electrical Cardioversion","Atrial fibrillation (AF)","Atrial fibrillation (AF)","Not specified (the paper implies Heart Yin or Heart Yang deficiency but does not explicitly state the TCM term for the condition)","Not specified (the paper implies Heart Yin or Heart Yang deficiency but does not explicitly state the TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1572-0241.2003.07231.x","Electroacupuncture Analgesia for Colonoscopy: A Prospective, Randomized, Placebo-Controlled Study","Not specified (the paper focuses on the procedure of colonoscopy and management of discomfort and anxiety rather than a specific disease or condition)","Colonoscopy","Not specified (the paper does not explicitly mention a primary medical condition or disease in TCM terminology)","Not specified (the paper does not explicitly mention a primary medical condition or disease in TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1600-0420.2004.00254.x","Acupuncture treatment in patients with keratoconjunctivitis sicca: a pilot study","Keratoconjunctivitis sicca (KCS) or dry eye","Keratoconjunctivitis sicca (KCS) or dry eye","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1600-0528.2009.00494.x","Towards a proposal for assessment of blinding success in clinical trials- up-to-date review","Not specified (the paper discusses various RCTs but does not specify a primary medical condition or disease)","Review","Not specified (the paper does not explicitly mention any TCM terms or conditions)","Not specified (the paper does not explicitly mention any TCM terms or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1742-1241.2008.01876.x","Auricular acupuncture for insomnia: a systematic review","Insomnia","Insomnia","Not specified (the paper does not provide a specific TCM term for insomnia)","Not specified (the paper does not provide a specific TCM term for insomnia)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1742-1241.2009.02043.x","Acupuncture for Alzheimer's disease: a systematic review","Alzheimer's disease (AD)","Alzheimer's disease (AD)","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1742-1241.2009.02167.x","Acupuncture for schizophrenia: a systematic review and meta-analysis","Schizophrenia","Schizophrenia","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1742-481X.2012.00969.x","Traditional Chinese medicine for pressure ulcer: a meta-analysis","Pressure ulcers (bedsores or pressure sores)","Pressure ulcers (bedsores or pressure sores)","Pressure ulcers (bedsores or pressure sores)","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1755-3768.2009.01855.x","Acupuncture for treating dry eye: a systematic review","Dry eye","Dry eye","Not specified (the paper does not explicitly mention a TCM term for the condition being studied)","Not specified (the paper does not explicitly mention a TCM term for the condition being studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1755-3768.2010.02027.x","Acupuncture for treating dry eye: a randomized placebo-controlled trial","Dry eye","Dry eye","Not specified (the paper does not explicitly mention a TCM term for the condition)","Not specified (the paper does not explicitly mention a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1755-5949.2010.00159.x","Acupuncture for Depression: A Critique of the Evidence Base","Depression","Depression","Not specified (the paper does not explicitly mention a TCM term for the condition being studied)","Not specified (the paper does not explicitly mention a TCM term for the condition being studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/jmwh.12262","Influence of Acupuncture on the Third Stage of Labor: A Randomized Controlled Trial","Postpartum hemorrhage (PPH)","Postpartum hemorrhage (PPH)","Prolonged third stage of labor (associated with postpartum hemorrhage) Ren Mai 6 point (Qihai or Sea of Qi) for uterine contraction and Qi toning","Prolonged third stage of labor (associated with postpartum hemorrhage) Ren Mai 6 point (Qihai or Sea of Qi) for uterine contraction and Qi toning","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/jmwh.12545","Acupuncture and Acupressure in Labor","Labor pain and labor duration","Labor pain and labor duration","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/joor.12380","Effect of temporomandibular disorder therapy on otologic signs and symptoms: a systematic review","Temporomandibular Disorders (TMD)","Temporomandibular Disorders (TMD)","Not specified (the paper does not explicitly translate TMD into TCM terminology)","Not specified (the paper does not explicitly translate TMD into TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/jopr.12957","Management of gag reflex for patients undergoing dental treatment (Review)","Gag reflex","Gag reflex","Not specified (the paper does not mention any TCM terminology or conditions)","Not specified (the paper does not mention any TCM terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/jsm.12830","Acupuncture for the Treatment of Vulvodynia: A Randomized Wait-List Controlled Pilot Study","Vulvodynia","Vulvodynia","Not specified (the paper describes the condition in terms of qi and yin imbalance but does not specify a traditional TCM disease or condition name)","Not specified (the paper describes the condition in terms of qi and yin imbalance but does not specify a traditional TCM disease or condition name)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/nmo.12793","Functional neuroimaging studies in functional dyspepsia patients: a systematic review","Functional dyspepsia (FD)","Functional dyspepsia (FD)","Not specified (the paper does not mention any Traditional Chinese Medicine (TCM) terminology or conditions)","Not specified (the paper does not mention any Traditional Chinese Medicine (TCM) terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/papr.12116","Cost-effectiveness of Acupuncture for Chronic Nonspecific Low Back Pain","Chronic lower back pain (LBP)","Chronic lower back pain (LBP)","Not specified (the paper does not provide a TCM diagnosis or terminology for the condition)","Not specified (the paper does not provide a TCM diagnosis or terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/papr.12208","Acupuncture for Acute Postoperative Pain after Back Surgery: A Systematic Review and Meta-analysis of Randomized Controlled Trials","Acute postoperative pain after back surgery due to intervertebral disk herniation, spinal stenosis, or spondylolisthesis","Acute postoperative pain after back surgery due to intervertebral disk herniation, spinal stenosis, or spondylolisthesis","Not specified (the paper does not explicitly translate the conditions into Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly translate the conditions into Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/papr.12309","A New Method for Sham Controlled Acupuncture in Experimental Visceral Paina Randomized, Single Blinded Study","Visceral pain (experimental rectal pain)","Visceral pain (experimental rectal pain)","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/pme.12392","A Randomized Controlled Trial of Single Point Acupuncture in Primary Dysmenorrhea","Primary dysmenorrhea","Primary dysmenorrhea","Not specified (the paper does not explicitly state the TCM term for the condition)","Not specified (the paper does not explicitly state the TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/pme.12738","Transcutaneous Electrical Acupoint Stimulation for the Treatment of Withdrawal Syndrome in Heroin Addicts","Heroin withdrawal syndrome","Heroin withdrawal syndrome","Not specified (the paper does not explicitly mention a TCM term for the condition)","Not specified (the paper does not explicitly mention a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2011-010026","Acupuncture and the relaxation response for treating gastrointestinal symptoms in HIV patients on highly active antiretroviral therapy","Gastrointestinal symptoms (specifically: diarrhoea, loose stools, gas/bloating, abdominal pain, nausea, and vomiting)","Gastrointestinal symptoms (specifically: diarrhoea, loose stools, gas/bloating, abdominal pain, nausea, and vomiting)","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2011-010064","Effect of acupuncture on symptoms of anxiety in women undergoing in vitro fertilisation: a prospective randomised controlled study","Anxiety","Anxiety","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2011-010082","Effects of electroacupuncture on stress-related symptoms in medical students: a randomised controlled pilot study","Stress-related symptoms: sleep disorders, anxiety, depression, and burnout","Stress-related symptoms: sleep disorders, anxiety, depression, and burnout","Not specified (the paper does not use Traditional Chinese Medicine terminology)","Not specified (the paper does not use Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2011-010095","Electroacupuncture reduces the dose of midazolam monitored by the bispectral index in critically ill patients with mechanical ventilation: an exploratory study","Critically ill patients requiring sedation during mechanical ventilation in ICU","Critically ill patients requiring sedation during mechanical ventilation in ICU","Not specified (the paper does not explicitly state a TCM disease or condition)","Not specified (the paper does not explicitly state a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2012-010128","Supervised exercise plus acupuncture for moderate to severe knee osteoarthritis: a small randomised controlled trial","Knee osteoarthritis (OA)","Knee osteoarthritis (OA)","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2012-010155","A meta-analysis of the efficacy of acupuncture in treating dysphagia in patients with a stroke","Dysphagia","Dysphagia","Not specified (the paper does not explicitly mention the TCM terminology for the condition)","Not specified (the paper does not explicitly mention the TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2012-010178","A systematic review of cost-effectiveness analyses alongside randomised controlled trials of acupuncture","- Chronic low back pain (LBP) - Headache - Osteoarthritis - Chronic neck pain - Dysmenorrhoea - Allergic rhinitis","- Chronic low back pain (LBP) - Headache - Osteoarthritis - Chronic neck pain - Dysmenorrhoea - Allergic rhinitis","Not specified (the paper does not explicitly mention TCM terminology for the conditions)","Not specified (the paper does not explicitly mention TCM terminology for the conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2012-010183","The effectiveness of acupuncture for plantar heel pain: a systematic review","Plantar heel pain (PHP)","Plantar heel pain (PHP)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2012-010195","The combined effect of acupuncture and Tanacetum parthenium on quality of life in women with headache: randomised study","Chronic Migraine (CM)","Chronic Migraine (CM)","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2012-010198","Effects of acupuncture on the outcome of in vitro fertilisation and intracytoplasmic sperm injection in women with polycystic ovarian syndrome","Polycystic Ovarian Syndrome (PCOS)","Polycystic Ovarian Syndrome (PCOS)","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2012-010254","Electroacupuncture alleviates intraoperative immunosuppression in patients undergoing supratentorial craniotomy","Not specified (the study focuses on immune response during surgery, not a specific disease or condition)","Anesthesia for craniotomy","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2012-010261","Using moxibustion in primary healthcare to correct non-vertex presentation: a multicentre randomised controlled trial","Non-vertex presentation (breech presentation)","Non-vertex presentation (breech presentation)","Not specified (the paper does not explicitly mention a TCM disease or condition related to non-vertex presentation)","Not specified (the paper does not explicitly mention a TCM disease or condition related to non-vertex presentation)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2012-010269","Influence of acupuncture on the outcomes of in vitro fertilisation when embryo implantation has failed: a prospective randomised controlled clinical trial","Infertility due to embryo implantation failure","Infertility due to embryo implantation failure","Not specified (the paper does not explicitly mention a TCM term for the condition)","Not specified (the paper does not explicitly mention a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2012-010280","Physiological changes associated with de qi during electroacupuncture to LI4 and LI11: a randomised, placebo-controlled trial","Not specified (the study focuses on physiological responses in healthy subjects)","Not specified ","Not specified (the paper does not explicitly mention a specific TCM disease or condition)","Not specified (the paper does not explicitly mention a specific TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010333","Acupuncture for acute non-specific low back pain: a randomised, controlled, double-blind, placebo trial","Acute non-specific low back pain (ANLBP)","Acute non-specific low back pain (ANLBP)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010340","Ondansetron combined with ST36 (Zusanli) acupuncture point injection for postoperative vomiting","Postoperative vomiting (POV)","Postoperative vomiting (POV)","Postoperative vomiting (POV)","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010362","A sham-controlled trial of acupuncture as an adjunct in migraine prophylaxis","Migraine","Migraine","Not specified (the paper does not explicitly state the disease/condition in TCM terminology)","Not specified (the paper does not explicitly state the disease/condition in TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010363","Acupuncture for vascular mild cognitive impairment: a systematic review of randomised controlled trials","Vascular mild cognitive impairment (VMCI)","Vascular mild cognitive impairment (VMCI)","Dementia (chi dai) or Stroke (zhong feng)","Dementia (chi dai) or Stroke (zhong feng)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010408","Effects of electroacupuncture on stress-related symptoms in medical students: a randomised placebo-controlled study","Stress-related symptoms (sleep disorders, anxiety, depression, burnout)","Stress-related symptoms (sleep disorders, anxiety, depression, burnout)","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010422","Influence of different durations of electroacupuncture stimulation on skin blood flow and muscle blood volume","Not specified (the study focuses on physiological effects in healthy volunteers rather than a specific disease or condition)","Healthy volunteers","Not specified (the paper does not explicitly mention a specific TCM condition or disease)","Not specified (the paper does not explicitly mention a specific TCM condition or disease)","","","","","","","","","","","","","","","","","","","","","","",""
